index,offset_start,offset_end,size_bytes,sha256,content_id,path
0,0,2048,2048,598bb94c9ee7bd1bcd03bb0480bd50567fabbd9a4c328c95678fc78a4b09ae97,sha256:598bb94c9ee7bd1bcd03bb0480bd50567fabbd9a4c328c95678fc78a4b09ae97,results/17_chunking/chunks/chunk_0000.bin
1,2048,4096,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0001.bin
2,4096,6144,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0002.bin
3,6144,8192,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0003.bin
4,8192,10240,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0004.bin
5,10240,12288,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0005.bin
6,12288,14336,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0006.bin
7,14336,16384,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0007.bin
8,16384,18432,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0008.bin
9,18432,20480,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0009.bin
10,20480,22528,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0010.bin
11,22528,24576,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0011.bin
12,24576,26624,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0012.bin
13,26624,28672,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0013.bin
14,28672,30720,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0014.bin
15,30720,32768,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0015.bin
16,32768,34816,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0016.bin
17,34816,36864,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0017.bin
18,36864,38912,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0018.bin
19,38912,40960,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0019.bin
20,40960,43008,2048,4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,sha256:4c5150bf662e722396db18fd09ef65ecc84bfb3fcf61b84ebeb5688c0460e5d7,results/17_chunking/chunks/chunk_0020.bin
